assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCF_001511755.1,PRJNA224116,SAMEA3393040,,na,1283291,1283291,Pseudomonas sp. URMO17WK12:I11,,Shine,latest,Complete Genome,Major,Full,42325,Shine,SIB,GCA_001511755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/511/755/GCF_001511755.1_Shine,,
GCF_001511775.1,PRJNA224116,SAMEA3393041,,na,1283291,1283291,Pseudomonas sp. URMO17WK12:I11,,Yellow,latest,Complete Genome,Major,Full,42325,YEL.embl.gz,SIB,GCA_001511775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/511/775/GCF_001511775.1_YEL.embl.gz,,
GCF_000715175.2,PRJNA224116,SAMN02768546,,na,1283312,1283312,Sphingomonas sp. DC-6,strain=DC-6,,latest,Complete Genome,Major,Full,42871,ASM71517v2,Nanjing Agricultural University,GCA_000715175.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/715/175/GCF_000715175.2_ASM71517v2,,
GCF_000738435.1,PRJNA224116,SAMN02953969,,representative genome,666509,1284658,Planktomarina temperata RCA23,strain=RCA23,,latest,Complete Genome,Major,Full,41858,ASM73843v1,Georg-August-University,GCA_000738435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/738/435/GCF_000738435.1_ASM73843v1,,assembly from type material
GCF_000355765.4,PRJNA224116,SAMEA2272307,,representative genome,1288494,1288494,Nitrosospira lacus,strain=APG3,,latest,Complete Genome,Major,Full,42933,ASM35576v4,MDA,GCA_000355765.4,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/765/GCF_000355765.4_ASM35576v4,,assembly from type material
GCF_000968135.1,PRJNA224116,SAMEA3283111,,na,1288970,1288970,Magnetospira sp. QH-2,strain=QH-2,,latest,Complete Genome,Major,Full,41673,ASM96813v1,Genoscope CEA,GCA_000968135.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/135/GCF_000968135.1_ASM96813v1,,
GCF_000349845.1,PRJNA224116,SAMN02603735,,na,1294143,1294143,Pseudomonas sp. ATCC 13867,strain=ATCC 13867,,latest,Complete Genome,Major,Full,41362,ASM34984v1,Pusan National University,GCA_000349845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/845/GCF_000349845.1_ASM34984v1,,
GCF_000940995.1,PRJNA224116,SAMN03379852,,representative genome,658445,1295392,Photobacterium gaetbulicola Gung47,strain=Gung47,,latest,Complete Genome,Major,Full,42067,ASM94099v1,National Fisheries Research and Development Institute,GCA_000940995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/940/995/GCF_000940995.1_ASM94099v1,,assembly from type material
GCF_000215975.1,PRJNA224116,SAMN02232058,,representative genome,795359,1295609,Thermodesulfobacterium geofontis OPF15,strain=OPF15,,latest,Complete Genome,Major,Full,40701,ASM21597v1,US DOE Joint Genome Institute,GCA_000215975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/975/GCF_000215975.1_ASM21597v1,,assembly from type material
GCF_001729785.1,PRJNA224116,SAMN05581746,,na,1296536,1296536,Enterobacter xiangfangensis,strain=LMG27195,,latest,Complete Genome,Major,Full,42629,ASM172978v1,JCVI,GCA_001729785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/729/785/GCF_001729785.1_ASM172978v1,,assembly from type material
GCF_001454945.1,PRJNA224116,SAMN03072853,,representative genome,1297617,1297617,Intestinimonas butyriciproducens,strain=AF211,,latest,Complete Genome,Major,Full,42338,ASM145494v1,Wageningen University,GCA_001454945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/454/945/GCF_001454945.1_ASM145494v1,,
GCF_000280925.3,PRJNA224116,SAMN02469988,,na,1297742,1297742,Myxococcus hansupus,strain=mixupus,,latest,Complete Genome,Major,Full,42201,ASM28092v3,Institute of Microbial Technology,GCA_000280925.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/925/GCF_000280925.3_ASM28092v3,,
GCF_001596135.1,PRJNA224116,SAMN04545527,,na,1300914,1300914,Mucilaginibacter sp. PAMC 26640,strain=PAMC 26640,,latest,Complete Genome,Major,Full,42451,ASM159613v1,Korea Polar Research Institute,GCA_001596135.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/596/135/GCF_001596135.1_ASM159613v1,,
GCF_000698845.1,PRJNA224116,SAMN02423216,,na,1301032,1301032,Rhizobium sp. IE4771,strain=IE4771,,latest,Complete Genome,Major,Full,41796,ASM69884v1,Centro de Ciencias Genomicas UNAM,GCA_000698845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/698/845/GCF_000698845.1_ASM69884v1,,
GCF_001186155.3,PRJNA224116,SAMN02699419,,na,1302659,1302659,Planococcus sp. L10.15,strain=L10.15,,latest,Complete Genome,Major,Full,42675,ASM118615v3,Universiti Malaya,GCA_001186155.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/155/GCF_001186155.3_ASM118615v3,,
GCF_001857965.1,PRJNA224116,SAMN05804760,,na,1306519,1306519,Flavobacterium communis,strain=PK15,,latest,Complete Genome,Major,Full,42674,ASM185796v1,Chungnam National University,GCA_001857965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/857/965/GCF_001857965.1_ASM185796v1,,
GCF_000299335.2,PRJNA224116,SAMN02471159,,representative genome,391936,1306787,Alcanivorax pacificus W11-5,strain=W11-5,,latest,Complete Genome,Major,Full,42013,ASM29933v2,"The Third Institute of State Oceanic Administration (SOA), China.",GCA_000299335.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/335/GCF_000299335.2_ASM29933v2,,assembly from type material
GCF_000507245.1,PRJNA224116,SAMN02641517,,representative genome,1307761,1307761,Salinispira pacifica,strain=L21-RPul-D2,,latest,Complete Genome,Major,Full,41621,ASM50724v1,Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures,GCA_000507245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/507/245/GCF_000507245.1_ASM50724v1,,assembly from type material
GCF_001017655.1,PRJNA224116,SAMN03329217,,representative genome,1307763,1307763,Kiritimatiella glycovorans,strain=L21-Fru-AB,,latest,Complete Genome,Major,Full,42157,ASM101765v1,Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures,GCA_001017655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/655/GCF_001017655.1_ASM101765v1,,assembly from type material
GCF_001443605.1,PRJNA224116,SAMN04215233,,representative genome,1307839,1307839,Salinivirga cyanobacteriivorans,strain=L21-Spi-D4,,latest,Complete Genome,Major,Full,42321,ASM144360v1,Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures,GCA_001443605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/443/605/GCF_001443605.1_ASM144360v1,,assembly from type material
GCF_001007995.1,PRJNA224116,SAMN03287573,,representative genome,1309411,1309411,Deinococcus soli Cha et al. 2016,strain=N5,,latest,Complete Genome,Major,Full,42139,ASM100799v1,Seoul Women's University,GCA_001007995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/995/GCF_001007995.1_ASM100799v1,,assembly from type material
GCF_001563265.1,PRJNA224116,SAMN04497510,,na,1315974,1315974,Sphingobium sp. TKS,strain=TKS,,latest,Complete Genome,Major,Full,42418,ASM156326v1,"Graduate School of Life Sciences, Tohoku University",GCA_001563265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/563/265/GCF_001563265.1_ASM156326v1,,
GCF_000471965.1,PRJNA224116,SAMN02604283,,na,1316444,1316444,Blattabacterium sp. (Nauphoeta cinerea),,,latest,Complete Genome,Major,Full,41544,ASM47196v1,UT Tyler Biology Dept.,GCA_000471965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/965/GCF_000471965.1_ASM47196v1,,
GCF_001281405.1,PRJNA224116,SAMN02803869,,representative genome,1318743,1318743,Bartonella ancashensis,strain=20.00,,latest,Complete Genome,Major,Full,42261,ASM128140v1,Walter Reed Army Institute of Research,GCA_001281405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/405/GCF_001281405.1_ASM128140v1,,assembly from type material
GCF_001307195.1,PRJNA224116,SAMN04110325,,representative genome,1324350,1324350,Acinetobacter equi,strain=114,,latest,Complete Genome,Major,Full,42283,ASM130719v1,Robert Koch-Institut,GCA_001307195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/195/GCF_001307195.1_ASM130719v1,,assembly from type material
GCF_001021975.1,PRJNA224116,SAMN03152363,,na,1324352,1324352,Chryseobacterium gallinarum,strain=DSM 27622,,latest,Complete Genome,Major,Full,42163,ASM102197v1,"Shin's Lab., Kyungpook National University",GCA_001021975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/975/GCF_001021975.1_ASM102197v1,,assembly from type material
GCF_900169565.1,PRJNA224116,SAMEA17758918,,representative genome,1325564,1325564,Nitrospira japonica,,Genome sequencing of Nitrospira japonica strain NJ11,latest,Complete Genome,Major,Full,42816,NSJP_Ch1,WASEDA university,GCA_900169565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/169/565/GCF_900169565.1_NSJP_Ch1,,
GCF_000695995.1,PRJNA224116,SAMN03081466,,na,1327989,1327989,Serratia sp. FS14,strain=FS14,,latest,Complete Genome,Major,Full,41786,ASM69599v1,Nanjing Agricultural University Bioinformatics Center,GCA_000695995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/995/GCF_000695995.1_ASM69599v1,,
GCF_000442595.1,PRJNA224116,SAMN02603046,,na,1198232,1329899,Cycloclasticus zancles 78-ME,strain=78-ME,,latest,Complete Genome,Major,Full,41487,ASM44259v1,C.N.R. - Institute for Coastal Marine Environment,GCA_000442595.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/595/GCF_000442595.1_ASM44259v1,,
GCF_001027025.1,PRJNA224116,SAMN02940556,,representative genome,1330330,1330330,Kosmotoga pacifica,strain=SLHLJ1,,latest,Complete Genome,Major,Full,42158,ASM102702v1,"The Third Institute of Oceanography, State Oceanic Administration",GCA_001027025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/025/GCF_001027025.1_ASM102702v1,,assembly from type material
GCF_001698185.1,PRJNA224116,SAMN05366640,,na,1331258,1331258,Bordetella pseudohinzii,strain=HI4681,,latest,Complete Genome,Major,Full,42584,ASM169818v1,University of Michigan,GCA_001698185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/185/GCF_001698185.1_ASM169818v1,,
GCF_001456115.1,PRJNA224116,SAMN04219548,,representative genome,1332080,1332080,Sphingobium baderi,strain=DE-13,,latest,Complete Genome,Major,Full,42341,ASM145611v1,Nanjing Agricultural University,GCA_001456115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/456/115/GCF_001456115.1_ASM145611v1,,
GCF_001997345.1,PRJNA224116,SAMN06240846,,na,1332264,1332264,Tessaracoccus sp. NSG39,strain=NSG39,,latest,Complete Genome,Major,Full,42780,ASM199734v1,Kyung Hee University,GCA_001997345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/997/345/GCF_001997345.1_ASM199734v1,,
GCF_000164865.1,PRJNA224116,SAMN00116754,,representative genome,701347,1334193,Enterobacter lignolyticus SCF1,strain=SCF1,,latest,Complete Genome,Major,Full,40466,ASM16486v1,US DOE Joint Genome Institute,GCA_000164865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/865/GCF_000164865.1_ASM16486v1,,assembly from type material
GCF_001461805.1,PRJNA224116,SAMN04074888,,na,1334193,1334193,Enterobacter lignolyticus,strain=G5,,latest,Complete Genome,Major,Full,42345,ASM146180v1,University of Malaya,GCA_001461805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/805/GCF_001461805.1_ASM146180v1,,
GCF_001620265.1,PRJNA224116,SAMN03956960,,representative genome,1335048,1335048,Defluviimonas alba,strain=cai42,,latest,Complete Genome,Major,Full,42475,ASM162026v1,Peking University,GCA_001620265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/620/265/GCF_001620265.1_ASM162026v1,,assembly from type material
GCF_000319575.2,PRJNA224116,SAMN02603230,,representative genome,1260251,1335746,Spiribacter salinus M19-40,strain=M19-40,,latest,Complete Genome,Major,Full,41418,ASM31957v2,"Evolutionary Genomics Group, Universidad Miguel Hernandez, San Juan de Alicante, Spain",GCA_000319575.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/319/575/GCF_000319575.2_ASM31957v2,,assembly from type material
GCF_000485905.1,PRJNA224116,SAMN02603231,,representative genome,1335757,1335757,Spiribacter curvatus,strain=UAH-SP71,,latest,Complete Genome,Major,Full,41576,ASM48590v1,"Evolutionary Genomics Group, Universidad Miguel Hernandez, San Juan de Alicante, Spain",GCA_000485905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/905/GCF_000485905.1_ASM48590v1,,assembly from type material
GCF_001735745.1,PRJNA224116,SAMN05375114,,na,1336794,1336794,Formosa sp. Hel1_33_131,strain=Hel1_33_131,,latest,Complete Genome,Major,Full,42633,ASM173574v1,"Ernst Moritz Arndt University of Greifswald, Institute of Pharmacy",GCA_001735745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/745/GCF_001735745.1_ASM173574v1,,
GCF_001735715.1,PRJNA224116,SAMN05375122,,na,1336795,1336795,Formosa sp. Hel3_A1_48,strain=Hel3_A1_48,,latest,Complete Genome,Major,Full,42633,ASM173571v1,"Ernst Moritz Arndt University of Greifswald, Institute of Pharmacy",GCA_001735715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/715/GCF_001735715.1_ASM173571v1,,
GCF_000734895.2,PRJNA224116,SAMN02909965,,na,1337936,1337936,Calothrix sp. 336/3,strain=336/3,,latest,Complete Genome,Major,Full,42130,ASM73489v2,"University of Turku, Department of Biochemistry",GCA_000734895.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/895/GCF_000734895.2_ASM73489v2,,
GCF_001655295.1,PRJNA224116,SAMN03650316,,na,1338689,1338689,Pseudomonas sp. JY-Q,strain=JY-Q,,latest,Complete Genome,Major,Full,42524,ASM165529v1,university,GCA_001655295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/655/295/GCF_001655295.1_ASM165529v1,,
GCF_001628815.1,PRJNA224116,SAMN04562549,,na,1340425,1340425,Geobacter anodireducens,strain=SD-1,,latest,Complete Genome,Major,Full,42482,ASM162881v1,Zhejiang University,GCA_001628815.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/628/815/GCF_001628815.1_ASM162881v1,,assembly from type material
GCF_000788395.1,PRJNA224116,SAMN03160553,,na,1348114,1348114,Pseudoalteromonas piratica,strain=OCN003,,latest,Complete Genome,Major,Full,41976,ASM78839v1,University of Hawaii at Manoa,GCA_000788395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/788/395/GCF_000788395.1_ASM78839v1,,
GCF_001028705.1,PRJNA224116,SAMN03757733,,representative genome,1348774,1348774,Croceicoccus naphthovorans,strain=PQ-2,,latest,Complete Genome,Major,Full,42167,ASM102870v1,Zhejiang University,GCA_001028705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/028/705/GCF_001028705.1_ASM102870v1,,assembly from type material
GCF_001442755.1,PRJNA224116,SAMN04236815,,na,1349819,1349819,Aureimonas sp. AU20,strain=AU20,,latest,Complete Genome,Major,Full,42320,ASM144275v1,"Graduate School of Life Sciences, Tohoku University",GCA_001442755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/755/GCF_001442755.1_ASM144275v1,,
GCF_000817325.1,PRJNA224116,SAMN03278348,,na,1350461,1350461,Synechococcus sp. UTEX 2973,strain=UTEX 2973,,latest,Complete Genome,Major,Full,42013,ASM81732v1,Washington University in St Louis,GCA_000817325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/325/GCF_000817325.1_ASM81732v1,,
GCF_000802245.2,PRJNA224116,SAMN03070117,,representative genome,1355015,1355015,Streptomyces pluripotens,strain=MUSC 135,,latest,Complete Genome,Major,Full,42864,ASM80224v2,University of Malaya,GCA_000802245.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/245/GCF_000802245.2_ASM80224v2,,assembly from type material
GCF_000816465.3,PRJNA224116,SAMN03070122,,na,1355015,1355015,Streptomyces pluripotens,strain=MUSC 137,,latest,Complete Genome,Major,Full,42940,ASM81646v4,University of Malaya,GCA_000816465.4,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/465/GCF_000816465.3_ASM81646v4,,
GCF_000011365.1,PRJNA57599,SAMD00061083,,reference genome,224911,1355477,Bradyrhizobium diazoefficiens USDA 110,strain=USDA 110,,latest,Complete Genome,Major,Full,38118,ASM1136v1,Kazusa,GCA_000011365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/365/GCF_000011365.1_ASM1136v1,,assembly from type material
GCF_001549695.1,PRJNA224116,SAMD00022775,,na,1355477,1355477,Bradyrhizobium diazoefficiens,strain=NK6,,latest,Complete Genome,Major,Full,42105,ASM154969v1,Tohoku University,GCA_001549695.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/549/695/GCF_001549695.1_ASM154969v1,,
GCF_001642675.1,PRJNA224116,SAMN03573437,,na,224911,1355477,Bradyrhizobium diazoefficiens USDA 110,strain=USDA 110,,latest,Complete Genome,Major,Full,42502,ASM164267v1,University of Florida,GCA_001642675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/675/GCF_001642675.1_ASM164267v1,,assembly from type material
GCF_001908315.1,PRJNA224116,SAMN04191488,,na,1355477,1355477,Bradyrhizobium diazoefficiens,strain=USDA 122,,latest,Complete Genome,Major,Full,42723,ASM190831v1,Tohoku University,GCA_001908315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/908/315/GCF_001908315.1_ASM190831v1,,
GCF_000737515.1,PRJNA224116,SAMN02988321,,na,1356852,1356852,Hymenobacter sp. APR13,strain=APR13,,latest,Complete Genome,Major,Full,41855,ASM73751v1,Nanjing Agricultural University,GCA_000737515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/515/GCF_000737515.1_ASM73751v1,,
GCF_001969265.1,PRJNA224116,SAMN06232496,,na,1357915,1357915,Arthrobacter sp. QXT-31,strain=QXT-31,,latest,Complete Genome,Major,Full,42758,ASM196926v1,Chinese Academy of Sciences,GCA_001969265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/969/265/GCF_001969265.1_ASM196926v1,,
GCF_001984035.1,PRJNA224116,SAMN06232497,,na,1357916,1357916,Sphingopyxis sp. QXT-31,strain=QXT-31,,latest,Complete Genome,Major,Full,42769,ASM198403v1,Chinese Academy of Sciences,GCA_001984035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/984/035/GCF_001984035.1_ASM198403v1,,
GCF_000632805.1,PRJNA224116,SAMN02673293,,representative genome,1379159,1379159,Dyella jiangningensis,strain=SBZ 3-12,,latest,Complete Genome,Major,Full,41746,ASM63280v1,Nanjing Agricultural University,GCA_000632805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/805/GCF_000632805.1_ASM63280v1,,assembly from type material
GCF_000695095.2,PRJNA224116,SAMN02296694,,representative genome,1379270,1379270,Gemmatimonas phototrophica,strain=AP64,,latest,Complete Genome,Major,Full,42466,ASM69509v2,Institute of Microbiology ASCR,GCA_000695095.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/095/GCF_000695095.2_ASM69509v2,,assembly from type material
GCF_000974425.1,PRJNA224116,SAMN03273316,,representative genome,1379870,1379870,Spirosoma radiotolerans,strain=DG5A,,latest,Complete Genome,Major,Full,42115,ASM97442v1,Kyungpook National University,GCA_000974425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/425/GCF_000974425.1_ASM97442v1,,assembly from type material
GCF_001577755.1,PRJNA224116,SAMN03291351,,na,1379909,1379909,Rufibacter sp. DG15C,strain=DG15C,,latest,Complete Genome,Major,Full,42429,ASM157775v1,Seoul Women's University,GCA_001577755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/755/GCF_001577755.1_ASM157775v1,,
GCF_001078055.1,PRJNA224116,SAMN03291399,,na,1379910,1379910,Rufibacter sp. DG31D,strain=DG31D,,latest,Complete Genome,Major,Full,42200,ASM107805v1,Seoul Women's University,GCA_001078055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/055/GCF_001078055.1_ASM107805v1,,
GCF_000828475.1,PRJNA224116,SAMD00019677,,representative genome,1384459,1384459,Methyloceanibacter caenitepidi,strain=Gela4,,latest,Complete Genome,Major,Full,42010,ASM82847v1,"National Institute of Advanced Industrial Science and Technology, Japan",GCA_000828475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/475/GCF_000828475.1_ASM82847v1,,assembly from type material
GCF_001280305.1,PRJNA224116,SAMN04009128,,na,1385663,1385663,Hymenobacter sp. DG25A,strain=DG25A,,latest,Complete Genome,Major,Full,42256,ASM128030v1,Seoul Women's University,GCA_001280305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/305/GCF_001280305.1_ASM128030v1,,
GCF_000801315.1,PRJNA224116,SAMN03174911,,na,1385664,1385664,Hymenobacter sp. DG25B,strain=DG25B,,latest,Complete Genome,Major,Full,41984,ASM80131v1,Kyungpook National University,GCA_000801315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/315/GCF_000801315.1_ASM80131v1,,
GCF_001956985.1,PRJNA224116,SAMN06044225,,representative genome,1387353,1387353,Paludisphaera borealis,strain=PX4,,latest,Complete Genome,Major,Full,42754,ASM195698v1,Research Center of Biotechnology of RAS,GCA_001956985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/985/GCF_001956985.1_ASM195698v1,,assembly from type material
GCF_001854285.1,PRJNA224116,SAMN05904706,,na,1389192,1389192,Cupriavidus sp. USMAHM13,strain=USMAHM13,pure,latest,Complete Genome,Major,Full,42669,ASM185428v1,Universiti Sains Malaysia,GCA_001854285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/285/GCF_001854285.1_ASM185428v1,,
GCF_001971605.1,PRJNA224116,SAMN04390191,,na,1390395,1390395,Sphingomonas sp. LK11,strain=LK11,,latest,Complete Genome,Major,Full,42761,ASM197160v1,KNU,GCA_001971605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/971/605/GCF_001971605.1_ASM197160v1,,
GCF_001263175.1,PRJNA224116,SAMN03951128,,representative genome,1391653,1391653,Vulgatibacter incomptus,strain=DSM 27710,,latest,Complete Genome,Major,Full,42223,ASM126317v1,IMTECH-CSIR,GCA_001263175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/263/175/GCF_001263175.1_ASM126317v1,,assembly from type material
GCF_001308265.1,PRJNA224116,SAMN03837864,,representative genome,1397108,1397108,Celeribacter marinus,strain=IMCC 12053,,latest,Complete Genome,Major,Full,42285,ASM130826v1,Pukyong National University,GCA_001308265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/265/GCF_001308265.1_ASM130826v1,,
GCF_000496635.1,PRJNA224116,SAMN02351601,,na,1399115,1399115,Exiguobacterium sp. MH3,strain=MH3,,latest,Complete Genome,Major,Full,41590,ASM49663v1,"School of Environment and Energy, Shenzhen Graduate School of Peking University",GCA_000496635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/496/635/GCF_000496635.1_ASM49663v1,,
GCF_000473305.1,PRJNA224116,SAMN02641638,,na,1400053,1400053,Bacteroidales bacterium CF,strain=CF,,latest,Complete Genome,Major,Full,41547,ASM47330v1,University of Toronto,GCA_000473305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/473/305/GCF_000473305.1_ASM47330v1,,
GCF_002222635.1,PRJNA224116,SAMN07316509,,representative genome,1402135,1402135,Sulfitobacter pseudonitzschiae,strain=SMR1,,latest,Complete Genome,Major,Full,42936,ASM222263v1,University of Gothenburg,GCA_002222635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/635/GCF_002222635.1_ASM222263v1,,
GCF_000626675.1,PRJNA224116,SAMN03081498,,representative genome,1404245,1404244,Corynebacterium glyciniphilum AJ 3170,strain=AJ 3170,,latest,Complete Genome,Major,Full,41740,ASM62667v1,Bielefeld University,GCA_000626675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/626/675/GCF_000626675.1_ASM62667v1,,assembly from type material
GCF_001612555.1,PRJNA224116,SAMN04002505,,na,1407071,1407071,Acinetobacter sp. TGL-Y2,strain=TGL-Y2,,latest,Complete Genome,Major,Full,42467,ASM161255v1,Cold and Arid Regions Environmental and Engineering Research Institute,GCA_001612555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/612/555/GCF_001612555.1_ASM161255v1,,
GCF_001277995.1,PRJNA224116,SAMN02950576,,representative genome,931089,1408191,Corynebacterium deserti GIMN1.010,strain=GIMN1.010,,latest,Complete Genome,Major,Full,42249,ASM127799v1,Bielefeld University,GCA_001277995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/995/GCF_001277995.1_ASM127799v1,,assembly from type material
GCF_001027545.1,PRJNA224116,SAMN03771261,,representative genome,1408281,1408281,Endomicrobium proavitum,strain=Rsa215,,latest,Complete Genome,Major,Full,42167,ASM102754v1,Max Planck Institute (MPI) for Terrestrial Microbiology,GCA_001027545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/545/GCF_001027545.1_ASM102754v1,,assembly from type material
GCF_000828815.1,PRJNA224116,SAMD00013964,,na,1410383,1410383,Candidatus Tachikawaea gelatinosa,strain=UwTKB,,latest,Complete Genome,Major,Full,41901,ASM82881v1,National Institute for Basic Biology,GCA_000828815.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/815/GCF_000828815.1_ASM82881v1,,
